ClusterNumber,Weekly consumption,Age (1-7),Income (1-7),Education (1-6),Sex (M=1)
2,2,5,4,5,1
2,9,6,7,3,1
2,6,4,6,6,1
2,24,5,7,5,2
2,2,2,3,5,2
2,8,5,5,5,2
2,5,4,4,5,1
2,12,5,4,2,1
2,1,4,5,3,1
2,8,2,6,3,1
2,3,6,5,2,1
2,3,2,3,5,2
2,6,4,3,3,1
2,6,6,6,6,1
2,8,3,6,6,1
2,6,4,4,5,1
2,4,6,7,6,1
2,6,6,7,5,1
2,8,6,4,5,1
2,6,5,5,2,1
2,6,4,7,5,1
2,5,7,6,5,1
2,7,2,1,2,1
2,6,3,4,6,1
2,48,7,5,2,1
2,4,6,4,5,1
2,0,4,6,5,1
2,4,4,7,5,1
2,48,4,7,5,1
2,4,5,6,5,1
2,4,5,5,5,1
2,12,5,4,3,2
2,8,6,6,6,1
2,12,6,4,5,1
2,10,4,6,6,1
2,5,4,6,5,1
2,0,6,7,5,1
2,48,1,3,3,1
2,12,4,6,5,1
2,12,4,6,5,1
2,50,5,3,6,1
2,4,5,5,6,1
2,27,4,5,3,1
2,24,5,3,4,1
2,2,6,6,6,1
2,10,4,5,5,2
2,4,6,6,6,1
2,10,4,5,5,1
2,5,6,7,6,1
2,7,4,4,6,2
2,15,6,5,6,1
2,1,7,6,3,2
2,2,6,7,6,2
2,2,6,6,6,2
2,12,6,5,2,1
2,24,4,4,5,1
2,6,4,5,5,1
2,2,5,1,2,1
2,25,4,6,3,1
2,10,4,6,2,1
2,6,7,7,3,1
2,4,5,4,3,2
2,5,6,6,2,2
2,5,7,4,2,1
2,5,6,7,5,1
2,14,6,4,2,1
2,4,7,7,5,1
2,12,3,7,5,1
2,5,5,5,5,1
2,6,4,7,3,1
2,6,3,3,5,1
2,5,2,3,5,1
2,12,2,6,3,1
2,2,6,7,2,1
2,8,6,4,5,1
2,7,6,6,5,1
2,1,6,6,5,1
2,10,2,1,5,1
2,6,5,7,6,1
2,7,7,7,6,1
2,10,7,7,6,1
2,10,7,7,5,1
2,24,1,4,3,1
2,3,6,6,3,1
2,24,6,4,6,1
2,3,3,2,5,1
2,12,5,5,2,1
2,10,4,7,5,1
2,2,4,4,6,1
2,12,7,7,6,1
2,3,4,7,6,1
2,4,6,3,2,1
2,6,5,4,5,1
2,6,4,6,5,1
2,4,7,7,2,1
2,4,6,5,2,2
2,8,3,3,5,1
2,2,7,6,6,2
2,3,4,7,2,2
2,1,5,6,5,1
2,12,5,6,6,1
2,5,4,6,3,2
2,4,4,4,6,2
2,7,6,4,6,1
2,2,4,7,5,2
2,12,6,7,5,1
2,60,3,7,3,1
2,5,3,3,2,1
2,1,6,6,6,2
2,6,2,2,5,1
2,12,7,6,5,1
2,5,3,7,6,1
2,5,5,4,5,1
2,2,5,7,3,1
2,2,6,7,6,1
2,5,6,7,5,1
2,6,5,7,5,1
2,12,7,6,5,1
2,4,6,4,6,1
2,3,6,7,6,1
2,12,6,7,5,1
2,0,5,6,2,1
2,5,6,5,3,1
2,5,4,5,6,1
2,2,3,6,6,2
2,4,5,6,6,1
2,1,4,5,5,1
2,6,5,7,6,1
2,48,6,2,2,1
2,3,5,6,5,1
2,6,2,5,6,2
2,12,6,6,5,1
2,3,4,7,6,2
1,2,5,4,3,1
1,3,4,6,3,1
1,6,6,7,6,1
1,24,6,3,3,1
1,6,4,4,2,1
1,3,3,2,2,1
1,8,6,6,5,1
1,6,5,7,5,1
1,18,3,5,3,1
1,2,2,7,3,1
1,10,3,7,5,1
1,4,7,7,6,2
1,3,7,3,3,1
1,36,3,6,5,1
1,10,4,6,2,1
1,21,4,7,5,1
1,4,5,4,3,1
1,12,5,6,6,1
1,2,6,7,6,1
1,3,6,6,2,1
1,8,5,7,6,1
1,12,4,4,5,1
1,18,4,7,6,1
1,10,5,6,3,1
1,8,5,6,5,1
1,6,6,4,5,1
1,2,7,2,3,2
1,24,7,6,3,1
1,7,4,6,5,1
1,24,5,7,5,1
1,20,6,7,3,1
1,6,4,6,5,1
1,18,4,6,2,1
1,18,5,7,5,1
1,2,2,5,2,1
1,12,4,5,5,1
1,5,6,6,6,2
1,2,6,4,5,2
1,7,5,6,5,1
1,7,6,5,5,1
1,16,5,3,3,1
1,5,6,6,5,1
1,6,5,7,5,1
1,5,4,7,5,1
1,24,5,3,4,1
1,4,5,6,3,1
1,60,4,3,3,1
1,4,6,7,5,1
1,24,4,6,3,1
1,30,2,6,5,1
1,8,4,6,6,1
1,12,6,7,6,1
1,24,6,5,2,1
1,6,4,6,5,1
1,4,3,6,5,1
1,48,3,6,5,1
1,18,6,3,2,1
1,2,6,6,6,1
1,5,5,6,2,1
1,6,6,6,5,2
1,6,6,5,2,1
1,3,6,7,5,1
1,4,4,6,5,1
1,10,5,7,6,1
1,12,6,6,3,1
1,8,5,6,5,1
1,10,3,7,5,1
1,5,2,3,5,1
1,2,6,7,6,1
1,8,4,6,5,1
1,10,6,6,2,1
1,6,7,7,5,1
1,6,6,7,4,1
1,17,3,3,5,1
1,6,4,6,5,1
1,10,5,5,2,1
1,3,3,3,5,1
1,20,2,7,6,1
1,8,5,6,6,1
1,3,4,6,6,1
1,25,4,6,3,1
1,15,5,6,3,1
1,10,3,4,5,1
1,2,6,4,5,1
1,7,5,3,3,1
1,5,6,5,3,1
1,12,4,4,6,1
1,10,6,6,3,1
1,8,4,3,3,1
1,6,6,7,6,1
1,12,5,4,3,1
1,3,2,3,5,1
1,24,6,7,5,1
1,1,6,7,6,1
1,12,6,6,4,1
1,36,4,6,5,1
1,3,4,7,6,1
1,30,4,7,6,1
1,18,2,2,5,1
1,2,6,7,6,2
1,10,3,2,5,1
1,16,5,5,5,1
1,24,6,7,5,1
1,3,5,7,6,1
1,6,4,7,6,1
1,10,5,3,5,1
1,10,5,7,6,1
1,3,7,6,5,1
1,6,6,1,5,1
1,10,5,6,5,1
1,6,3,2,5,1
1,6,6,7,6,1
1,3,4,7,6,1
1,6,4,6,2,1
1,20,6,7,5,1
1,6,5,7,5,1
1,4,4,6,3,1
1,6,5,4,1,1
1,2,7,6,5,1
1,6,4,7,6,1
1,3,6,7,3,1
1,3,3,3,6,2
1,5,5,7,6,1
1,4,4,6,2,1
1,60,2,6,3,1
1,2,6,7,2,1
1,12,4,6,5,1
1,14,5,4,6,2
1,7,3,7,5,1
1,2,5,6,6,1
1,2,6,4,6,1
1,6,5,6,3,1
1,3,5,7,5,1
1,24,5,7,5,1
1,6,6,7,6,1
1,15,5,7,6,1
1,18,6,6,3,1
1,6,5,7,6,1
1,6,7,4,2,1
1,10,5,6,2,1
1,3,5,5,6,2
1,6,6,6,2,1
1,0,4,2,6,1
1,36,3,7,5,1
1,4,2,1,5,1
1,0,2,7,3,2
1,2,6,6,5,1
1,6,6,6,6,1
1,12,4,2,3,1
1,12,6,5,5,1
1,2,4,1,2,2
1,6,6,7,5,1
1,6,4,7,6,1
1,24,6,4,3,1
1,3,3,7,5,1
1,4,4,4,3,1
1,6,5,6,5,1
1,0,4,4,6,1
1,2,4,7,5,2
1,6,2,3,5,1
1,12,6,5,6,1
1,4,7,7,6,1
1,1,2,6,3,1
1,5,6,3,3,2
1,12,5,7,5,1
1,6,5,5,4,1
1,16,6,7,3,1
1,2,4,7,5,1
1,6,4,6,6,1
1,10,5,4,2,1
1,10,4,7,5,1
1,4,6,7,6,1
1,6,3,3,3,1
1,8,5,6,3,1
1,6,2,3,3,1
1,2,5,4,5,1
1,12,3,6,3,2
1,3,6,7,6,1
1,2,2,7,3,2
1,2,4,7,6,2
1,12,4,5,3,1
1,10,4,7,5,1
1,24,6,6,5,1
1,4,6,7,3,1
